waypoint1	waypoint2	distance_m	duration_s
Marine Drive, Chowpatty, Mumbai, Maharashtra, India	Swaminarayan Akshardham, New Delhi, Delhi, India	1428719	84388
Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	Swaminarayan Akshardham, New Delhi, Delhi, India	7190	799
Charminar, Hyderabad, Telangana, India	Swaminarayan Akshardham, New Delhi, Delhi, India	1558864	90195
Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	Swaminarayan Akshardham, New Delhi, Delhi, India	2612304	147285
Swaminarayan Akshardham, New Delhi, Delhi, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	1563406	89948
Kaziranga National Park, Kanchanjuri, Assam, India	Swaminarayan Akshardham, New Delhi, Delhi, India	2157541	125439
Konark Sun Temple, Konark, Odisha, India	Swaminarayan Akshardham, New Delhi, Delhi, India	1726931	108891
Marina Beach, Chennai, Tamil Nadu, India	Swaminarayan Akshardham, New Delhi, Delhi, India	2185637	124814
Sabarmati Ashram, Ahmedabad, Gujarat, India	Swaminarayan Akshardham, New Delhi, Delhi, India	938058	52934
Solang Valley, Burwa, Himachal Pradesh, India	Swaminarayan Akshardham, New Delhi, Delhi, India	562878	45137
Agra Fort, Agra, Uttar Pradesh, India	Humayun's Tomb, New Delhi, Delhi, India	202549	10356
Agra Fort, Agra, Uttar Pradesh, India	Qutub Minar, New Delhi, Delhi, India	209848	11368
Agra Fort, Agra, Uttar Pradesh, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	1400893	83409
Agra Fort, Agra, Uttar Pradesh, India	Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	796149	49944
Agra Fort, Agra, Uttar Pradesh, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	1374963	79845
Gandhi Smriti, New Delhi, Delhi, India	Agra Fort, Agra, Uttar Pradesh, India	205024	10578
Agra Fort, Agra, Uttar Pradesh, India	Palace Of Maharana Pratap, Udaipur, Rajasthan, India	639300	38412
India Backwaters, Kochi, Kerala, India	Agra Fort, Agra, Uttar Pradesh, India	2485421	144281
Golden Temple, Amritsar, Punjab, India	Agra Fort, Agra, Uttar Pradesh, India	663070	37138
Ajanta Caves, Aurangabad, Maharashtra, India	Agra Fort, Agra, Uttar Pradesh, India	1045440	71278
Agra Fort, Agra, Uttar Pradesh, India	Gateway Of India Mumbai, Mumbai, Maharashtra, India	1346059	83726
Agra Fort, Agra, Uttar Pradesh, India	Virupaksha Temple, Hampi, Karnataka, India	1741045	104608
Agra Fort, Agra, Uttar Pradesh, India	Palolem Beach, Goa, India	1805655	117726
Kanha National Park, Madhya Pradesh, India	Agra Fort, Agra, Uttar Pradesh, India	776326	46891
Agra Fort, Agra, Uttar Pradesh, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	612676	35060
Dal Lake, Rainawari, Srinagar	Agra Fort, Agra, Uttar Pradesh, India	1020751	62902
Jog Falls, Karnataka, India	Agra Fort, Agra, Uttar Pradesh, India	1916819	121398
Agra Fort, Agra, Uttar Pradesh, India	Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	237009	15084
Marine Drive, Chowpatty, Mumbai, Maharashtra, India	Agra Fort, Agra, Uttar Pradesh, India	1347104	84009
Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	Agra Fort, Agra, Uttar Pradesh, India	206272	10630
Charminar, Hyderabad, Telangana, India	Agra Fort, Agra, Uttar Pradesh, India	1344228	80236
Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	Agra Fort, Agra, Uttar Pradesh, India	2397669	137326
Agra Fort, Agra, Uttar Pradesh, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	1371758	82327
Agra Fort, Agra, Uttar Pradesh, India	Kaziranga National Park, Kanchanjuri, Assam, India	1965893	117817
Agra Fort, Agra, Uttar Pradesh, India	Konark Sun Temple, Konark, Odisha, India	1535283	101270
Marina Beach, Chennai, Tamil Nadu, India	Agra Fort, Agra, Uttar Pradesh, India	1971002	114855
Sabarmati Ashram, Ahmedabad, Gujarat, India	Agra Fort, Agra, Uttar Pradesh, India	914286	52619
Solang Valley, Burwa, Himachal Pradesh, India	Agra Fort, Agra, Uttar Pradesh, India	761960	54968
Humayun's Tomb, New Delhi, Delhi, India	Qutub Minar, New Delhi, Delhi, India	12072	1618
Humayun's Tomb, New Delhi, Delhi, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	1419786	83071
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Humayun's Tomb, New Delhi, Delhi, India	809470	49398
Humayun's Tomb, New Delhi, Delhi, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	1592206	89756
Gandhi Smriti, New Delhi, Delhi, India	Humayun's Tomb, New Delhi, Delhi, India	7189	929
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Humayun's Tomb, New Delhi, Delhi, India	658193	38073
India Backwaters, Kochi, Kerala, India	Humayun's Tomb, New Delhi, Delhi, India	2702665	154193
Golden Temple, Amritsar, Punjab, India	Humayun's Tomb, New Delhi, Delhi, India	466677	27586
Ajanta Caves, Aurangabad, Maharashtra, India	Humayun's Tomb, New Delhi, Delhi, India	1225599	74901
Gateway Of India Mumbai, Mumbai, Maharashtra, India	Humayun's Tomb, New Delhi, Delhi, India	1432370	83753
Humayun's Tomb, New Delhi, Delhi, India	Virupaksha Temple, Hampi, Karnataka, India	1958288	114519
Humayun's Tomb, New Delhi, Delhi, India	Palolem Beach, Goa, India	1911560	120039
Kanha National Park, Madhya Pradesh, India	Humayun's Tomb, New Delhi, Delhi, India	993570	56802
Humayun's Tomb, New Delhi, Delhi, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	806931	42633
Dal Lake, Rainawari, Srinagar	Humayun's Tomb, New Delhi, Delhi, India	824358	53350
Jog Falls, Karnataka, India	Humayun's Tomb, New Delhi, Delhi, India	2022723	123712
Humayun's Tomb, New Delhi, Delhi, India	Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	259566	16344
Marine Drive, Chowpatty, Mumbai, Maharashtra, India	Humayun's Tomb, New Delhi, Delhi, India	1423841	83735
Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	Humayun's Tomb, New Delhi, Delhi, India	8554	1065
Charminar, Hyderabad, Telangana, India	Humayun's Tomb, New Delhi, Delhi, India	1561471	90147
Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	Humayun's Tomb, New Delhi, Delhi, India	2614912	147237
Humayun's Tomb, New Delhi, Delhi, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	1566014	89901
Kaziranga National Park, Kanchanjuri, Assam, India	Humayun's Tomb, New Delhi, Delhi, India	2160149	125391
Konark Sun Temple, Konark, Odisha, India	Humayun's Tomb, New Delhi, Delhi, India	1729539	108844
Marina Beach, Chennai, Tamil Nadu, India	Humayun's Tomb, New Delhi, Delhi, India	2188245	124766
Sabarmati Ashram, Ahmedabad, Gujarat, India	Humayun's Tomb, New Delhi, Delhi, India	933179	52281
Solang Valley, Burwa, Himachal Pradesh, India	Humayun's Tomb, New Delhi, Delhi, India	565568	45416
Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	Qutub Minar, New Delhi, Delhi, India	1409436	82515
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Qutub Minar, New Delhi, Delhi, India	799121	48843
Golconda Fort, Fort Road, Hyderabad, Telangana, India	Qutub Minar, New Delhi, Delhi, India	1599447	91038
Gandhi Smriti, New Delhi, Delhi, India	Qutub Minar, New Delhi, Delhi, India	18386	2295
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Qutub Minar, New Delhi, Delhi, India	647843	37518
India Backwaters, Kochi, Kerala, India	Qutub Minar, New Delhi, Delhi, India	2709905	155475
Golden Temple, Amritsar, Punjab, India	Qutub Minar, New Delhi, Delhi, India	472151	28749
Ajanta Caves, Aurangabad, Maharashtra, India	Qutub Minar, New Delhi, Delhi, India	1215249	74346
Gateway Of India Mumbai, Mumbai, Maharashtra, India	Qutub Minar, New Delhi, Delhi, India	1422020	83198
Virupaksha Temple, Hampi, Karnataka, India	Qutub Minar, New Delhi, Delhi, India	1965529	115801
Palolem Beach, Goa, India	Qutub Minar, New Delhi, Delhi, India	1901210	119484
Kanha National Park, Madhya Pradesh, India	Qutub Minar, New Delhi, Delhi, India	1000811	58084
Ganges, Katesar, Varanasi, Uttar Pradesh, India	Qutub Minar, New Delhi, Delhi, India	814172	43915
Dal Lake, Rainawari, Srinagar	Qutub Minar, New Delhi, Delhi, India	829833	54513
Jog Falls, Karnataka, India	Qutub Minar, New Delhi, Delhi, India	2012374	123156
Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	Qutub Minar, New Delhi, Delhi, India	249216	15789
Marine Drive, Chowpatty, Mumbai, Maharashtra, India	Qutub Minar, New Delhi, Delhi, India	1413491	83179
Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	Qutub Minar, New Delhi, Delhi, India	19751	2431
Charminar, Hyderabad, Telangana, India	Qutub Minar, New Delhi, Delhi, India	1568712	91429
Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	Qutub Minar, New Delhi, Delhi, India	2622153	148519
Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	Qutub Minar, New Delhi, Delhi, India	1573255	91183
Kaziranga National Park, Kanchanjuri, Assam, India	Qutub Minar, New Delhi, Delhi, India	2167390	126673
Konark Sun Temple, Konark, Odisha, India	Qutub Minar, New Delhi, Delhi, India	1736780	110126
Marina Beach, Chennai, Tamil Nadu, India	Qutub Minar, New Delhi, Delhi, India	2195486	126048
Sabarmati Ashram, Ahmedabad, Gujarat, India	Qutub Minar, New Delhi, Delhi, India	922830	51725
Solang Valley, Burwa, Himachal Pradesh, India	Qutub Minar, New Delhi, Delhi, India	571042	46579
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	1070785	64383
Golconda Fort, Fort Road, Hyderabad, Telangana, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	710568	46448
Gandhi Smriti, New Delhi, Delhi, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	1421750	83684
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	762933	44951
India Backwaters, Kochi, Kerala, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	1560312	89977
Golden Temple, Amritsar, Punjab, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	1738054	104262
Ajanta Caves, Aurangabad, Maharashtra, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	445589	30773
Gateway Of India Mumbai, Mumbai, Maharashtra, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	5818	1102
Virupaksha Temple, Hampi, Karnataka, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	757798	46443
Palolem Beach, Goa, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	647181	41591
Kanha National Park, Madhya Pradesh, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	1118959	71276
Ganges, Katesar, Varanasi, Uttar Pradesh, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	1565465	99626
Dal Lake, Rainawari, Srinagar	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	2140125	133745
Jog Falls, Karnataka, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	758344	45264
Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	1165400	68586
Marine Drive, Chowpatty, Mumbai, Maharashtra, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	4354	798
Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	1423115	83819
Charminar, Hyderabad, Telangana, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	725700	47975
Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	1472559	83022
Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	2493917	154292
Kaziranga National Park, Kanchanjuri, Assam, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	3088052	189782
Konark Sun Temple, Konark, Odisha, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	1821504	115481
Marina Beach, Chennai, Tamil Nadu, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	1360780	76779
Sabarmati Ashram, Ahmedabad, Gujarat, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	545042	32252
Solang Valley, Burwa, Himachal Pradesh, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	1982471	125406
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	1740070	108070
Gandhi Smriti, New Delhi, Delhi, India	Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	801925	49926
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Palace Of Maharana Pratap, Udaipur, Rajasthan, India	486127	31611
India Backwaters, Kochi, Kerala, India	Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	2589814	151599
Golden Temple, Amritsar, Punjab, India	Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	777715	48172
Ajanta Caves, Aurangabad, Maharashtra, India	Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	1099053	73346
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Gateway Of India Mumbai, Mumbai, Maharashtra, India	1082848	65449
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Virupaksha Temple, Hampi, Karnataka, India	1787299	108065
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Palolem Beach, Goa, India	1676683	103213
Kanha National Park, Madhya Pradesh, India	Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	1510070	86900
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	1422506	84954
Dal Lake, Rainawari, Srinagar	Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	1204491	78582
Jog Falls, Karnataka, India	Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	1787846	106886
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	558018	35279
Marine Drive, Chowpatty, Mumbai, Maharashtra, India	Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	1074319	65431
Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	800835	49846
Charminar, Hyderabad, Telangana, India	Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	1755202	109597
Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	2502061	144644
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	2181589	132222
Kaziranga National Park, Kanchanjuri, Assam, India	Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	2775724	167712
Konark Sun Temple, Konark, Odisha, India	Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	2226545	143461
Marina Beach, Chennai, Tamil Nadu, India	Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	2390282	138401
Sabarmati Ashram, Ahmedabad, Gujarat, India	Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	529762	33231
Solang Valley, Burwa, Himachal Pradesh, India	Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	1079702	78229
Gandhi Smriti, New Delhi, Delhi, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	1591753	91297
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	1276710	85745
India Backwaters, Kochi, Kerala, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	1122161	66330
Golden Temple, Amritsar, Punjab, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	2049798	117858
Ajanta Caves, Aurangabad, Maharashtra, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	569514	40366
Gateway Of India Mumbai, Mumbai, Maharashtra, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	714670	46860
Virupaksha Temple, Hampi, Karnataka, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	377784	26657
Palolem Beach, Goa, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	704706	48350
Kanha National Park, Madhya Pradesh, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	796156	48257
Ganges, Katesar, Varanasi, Uttar Pradesh, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	1274700	88885
Dal Lake, Rainawari, Srinagar	Golconda Fort, Fort Road, Hyderabad, Telangana, India	2407480	143622
Jog Falls, Karnataka, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	657812	46211
Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	1593325	93545
Marine Drive, Chowpatty, Mumbai, Maharashtra, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	715716	47143
Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	1593001	91350
Charminar, Hyderabad, Telangana, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	9947	1987
Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	1034408	59375
Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	2123094	145109
Kaziranga National Park, Kanchanjuri, Assam, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	2717229	180600
Konark Sun Temple, Konark, Odisha, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	1122639	70927
Marina Beach, Chennai, Tamil Nadu, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	669698	39497
Sabarmati Ashram, Ahmedabad, Gujarat, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	1223473	76019
Solang Valley, Burwa, Himachal Pradesh, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	2148689	135688
Gandhi Smriti, New Delhi, Delhi, India	Palace Of Maharana Pratap, Udaipur, Rajasthan, India	661630	38583
Gandhi Smriti, New Delhi, Delhi, India	India Backwaters, Kochi, Kerala, India	2704847	154577
Golden Temple, Amritsar, Punjab, India	Gandhi Smriti, New Delhi, Delhi, India	459788	26876
Ajanta Caves, Aurangabad, Maharashtra, India	Gandhi Smriti, New Delhi, Delhi, India	1229036	75411
Gandhi Smriti, New Delhi, Delhi, India	Gateway Of India Mumbai, Mumbai, Maharashtra, India	1435807	84263
Gandhi Smriti, New Delhi, Delhi, India	Virupaksha Temple, Hampi, Karnataka, India	1960470	114904
Gandhi Smriti, New Delhi, Delhi, India	Palolem Beach, Goa, India	1914997	120548
Gandhi Smriti, New Delhi, Delhi, India	Kanha National Park, Madhya Pradesh, India	995752	57187
Gandhi Smriti, New Delhi, Delhi, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	809114	43018
Gandhi Smriti, New Delhi, Delhi, India	Dal Lake, Rainawari, Srinagar	817469	52640
Gandhi Smriti, New Delhi, Delhi, India	Jog Falls, Karnataka, India	2026160	124221
Gandhi Smriti, New Delhi, Delhi, India	Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	263003	16854
Marine Drive, Chowpatty, Mumbai, Maharashtra, India	Gandhi Smriti, New Delhi, Delhi, India	1427278	84244
Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	Gandhi Smriti, New Delhi, Delhi, India	3375	419
Charminar, Hyderabad, Telangana, India	Gandhi Smriti, New Delhi, Delhi, India	1563654	90532
Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	Gandhi Smriti, New Delhi, Delhi, India	2617095	147622
Gandhi Smriti, New Delhi, Delhi, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	1568196	90285
Gandhi Smriti, New Delhi, Delhi, India	Kaziranga National Park, Kanchanjuri, Assam, India	2162331	125776
Gandhi Smriti, New Delhi, Delhi, India	Konark Sun Temple, Konark, Odisha, India	1731721	109228
Marina Beach, Chennai, Tamil Nadu, India	Gandhi Smriti, New Delhi, Delhi, India	2190428	125151
Gandhi Smriti, New Delhi, Delhi, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	936616	52790
Gandhi Smriti, New Delhi, Delhi, India	Solang Valley, Burwa, Himachal Pradesh, India	558678	44706
India Backwaters, Kochi, Kerala, India	Palace Of Maharana Pratap, Udaipur, Rajasthan, India	2282631	132281
Golden Temple, Amritsar, Punjab, India	Palace Of Maharana Pratap, Udaipur, Rajasthan, India	971608	60205
Ajanta Caves, Aurangabad, Maharashtra, India	Palace Of Maharana Pratap, Udaipur, Rajasthan, India	722904	47107
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Gateway Of India Mumbai, Mumbai, Maharashtra, India	775666	46131
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Virupaksha Temple, Hampi, Karnataka, India	1480117	88747
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Palolem Beach, Goa, India	1369500	83895
Kanha National Park, Madhya Pradesh, India	Palace Of Maharana Pratap, Udaipur, Rajasthan, India	1128532	61998
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	1139695	65918
Dal Lake, Rainawari, Srinagar	Palace Of Maharana Pratap, Udaipur, Rajasthan, India	1376256	89207
Jog Falls, Karnataka, India	Palace Of Maharana Pratap, Udaipur, Rajasthan, India	1480664	87567
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	401531	24048
Marine Drive, Chowpatty, Mumbai, Maharashtra, India	Palace Of Maharana Pratap, Udaipur, Rajasthan, India	767136	46112
Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	Palace Of Maharana Pratap, Udaipur, Rajasthan, India	659246	39282
Charminar, Hyderabad, Telangana, India	Palace Of Maharana Pratap, Udaipur, Rajasthan, India	1353065	85535
Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	Palace Of Maharana Pratap, Udaipur, Rajasthan, India	2194878	125325
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	1949708	118880
Kaziranga National Park, Kanchanjuri, Assam, India	Palace Of Maharana Pratap, Udaipur, Rajasthan, India	2543843	154371
Konark Sun Temple, Konark, Odisha, India	Palace Of Maharana Pratap, Udaipur, Rajasthan, India	1747982	114404
